n,lambda_n,lambda_n_over_n,half_log_n
1,0.022961009776646203,0.022961009776646203,0
2,0.09180693847057077,0.045903469235285384,0.34657359027997264
3,0.20642662785159205,0.06880887595053069,0.5493061443340549
4,0.3666352924691134,0.09165882311727835,0.6931471805599453
5,0.5721752347454794,0.11443504694909587,0.8047189562170501
6,0.8227168415057481,0.13711947358429136,0.8958797346140275
7,1.1178598573696905,0.1596942653385272,0.9729550745276566
8,1.4571349291629527,0.1821418661453691,1.0397207708399179
9,1.8400054142637392,0.20444504602930436,1.0986122886681098
10,2.2658694445950265,0.22658694445950264,1.151292546497023
11,2.7340622368061247,0.24855111243692043,1.1989476363991853
12,3.243858638066897,0.27032155317224144,1.2424533248940002
13,3.7944758958285987,0.2918827612175845,1.2824746787307684
14,4.385076638892243,0.3132197599208745,1.3195286648076292
15,5.014772056173476,0.33431813707823177,1.354025100551105
16,5.682625258666843,0.3551640786666777,1.3862943611198906
17,6.387654809296077,0.37574440054682806,1.416606672028108
18,7.12883840459485,0.3960465780330472,1.4451858789480823
19,7.905116691497531,0.41605877323671214,1.4722194895832201
20,8.715397201935266,0.43576986009676333,1.4978661367769954
21,9.558558387431825,0.4551694470205631,1.5222612188617115
22,10.433453735478428,0.4742478970672013,1.545521226679158
23,11.338915949139313,0.49299634561475275,1.5677471079645748
24,12.273761171101238,0.5114067154625516,1.5890269151739729
25,13.236793233232174,0.529471729329287,1.6094379124341003
26,14.22680791265665,0.5471849197175634,1.629048269010741
27,15.242597175389259,0.5645406361255281,1.6479184330021646
28,16.28295338869168,0.5815340495961314,1.666102255087602
29,17.346673483533227,0.5981611546045941,1.683647914993237
30,18.43256304883771,0.6144187682945904,1.7005986908310777
31,19.539440339589955,0.6303045270835469,1.7169936022425731
32,20.666140181350706,0.6458168806672095,1.7328679513998633
33,21.811517754286825,0.6609550834632372,1.7482537807332401
34,22.97445224046202,0.6757191835430006,1.7631802623080808
35,24.1538503188481,0.6901100091099457,1.7776740307447068
36,25.348649493304368,0.704129152591788,1.791759469228055
37,26.55782123963006,0.7177789524224341,1.8054589563221122
38,27.78037395871618,0.7310624725977942,1.8187930798631928
39,29.01535572380493,0.7439834800975623,1.8317808230648231
40,30.261856810902092,0.7565464202725523,1.8444397270569681
41,31.519012002474824,0.768756390304264,1.856786033352154
42,32.786002655698944,0.7806191108499748,1.8688348091416842
43,34.06205852769076,0.7921408959928083,1.8806000578467812
44,35.346459351362164,0.8033286216218674,1.8920948169591305
45,36.638536156769014,0.8141896923726447,1.9033312448851598
46,37.93767233407506,0.8247320072625013,1.9143206982445475
47,39.24330443552041,0.8349639241600086,1.9250738008550292
48,40.55492271505984,0.8448942232304133,1.9356005054539456
49,41.872071405613866,0.8545320695023237,1.9459101490553132
50,43.19434873514944,0.8638869747029888,1.956011502714073
51,44.52140668407143,0.8729687585112045,1.9659128163621629
52,45.852950487652976,0.8817875093779418,1.9756218592907138
53,47.18873788845725,0.8903535450652311,1.985145956776061
54,48.52857814490007,0.898677373053705,1.9944920232821373
55,49.87233080326329,0.9067696509684234,2.0036665926162356
56,51.21990424159129,0.914641147171273,2.012675845367575
57,52.57125399497797,0.9223027016662803,2.021525633917275
58,53.92638087277703,0.9297651874616729,2.0302215052732095
59,55.28532887923715,0.9370394725294432,2.03876872195286
60,56.64818294997211,0.9441363824995351,2.04717228111105
61,58.01506651751997,0.9510666642216389,2.0554369320866557
62,59.38613892001939,0.9578409503228934,2.063567192522546
63,60.7615926677337,0.964469724884662,2.0715673631957663
64,62.14165058277883,0.9709632903559192,2.0794415416798357
65,63.52656282795831,0.9773317358147432,2.0871936349478184
66,64.91660384107406,0.9835849066829404,2.0948273710132126
67,66.31206919146318,0.9897323759919878,2.102346309695483
68,67.71327237580728,0.9957834172912835,2.1097538525880535
69,69.12054157047098,1.001746979282188,2.11705325229863
70,70.5342163577475,1.0076316622535357,2.1242476210246797
71,71.95464444342397,1.013445696386253,2.1313399385206577
72,73.38217838302508,1.0191969219864594,2.1383330595080277
73,74.8171723339521,1.0248927716979739,2.1452297205741955
