x,M_exact,M_20z,M_200z,M_1000z,M_10000z
100,1,2.5756294489636766,3.0461140328386316,3.0167051491669907,3.000808821906197
1000,2,2.197297775762143,3.3155978493022875,3.9378699403849273,3.9989801303523183
10000,-23,-26.207816604436356,-23.72871418754831,-21.827207094937926,-20.648431701203425
100000,-48,-47.066215710689534,-44.7329994793881,-47.42481967405555,-45.20791217930566
1000000,212,148.559668213099,233.50849645865185,213.56149675056292,217.89376691318543
10000000,1037,896.4696541371794,1029.8618585677905,1076.6285605891112,1053.2611847867795
