index,gamma_n,raw_gap,normalized_spacing
1,14.134725141734695,6.887314497036861,0.8887119300032527
2,21.022039638771556,3.9888179413741334,0.7666927785852902
3,25.01085758014569,5.414018545713823,1.1903363245585579
4,30.424876125859512,2.5101854618796793,0.6301779970562035
5,32.93506158773919,4.651116571086483,1.2263401088904187
6,37.586178158825675,3.3325408533218237,0.9487406785012497
7,40.9187190121475,2.4083542687675035,0.7181960467285868
8,43.327073280915,4.678077600252159,1.4376311548026997
9,48.00515088116716,1.7686815965051395,0.5723995476212527
10,49.7738324776723,3.1964890000421633,1.0528884180611686
11,52.970321477714464,3.4759262193489278,1.1793651386187096
12,56.44624769706339,2.900796305538961,1.0135690711403684
13,59.34704400260235,1.4847345220074573,0.5306239895186092
14,60.83177852460981,4.280765523471793,1.5467226179532572
15,65.1125440480816,1.9672664814125653,0.7321034242832237
16,67.07981052949417,2.466591181679817,0.929608557707932
17,69.54640171117398,2.52075596330792,0.9645096006376588
18,72.0671576744819,3.637533024602021,1.4124312106262278
19,75.70469069908393,1.4401493697908734,0.5704874839616729
20,77.1448400688748,2.1925349513745687,0.8751064321180831
21,79.33737502024937,3.5730058338366604,1.4420302802029354
22,82.91038085408603,1.8251121264310228,0.7493931660228943
23,84.73549298051705,2.689781632608174,1.113748869612274
24,87.42527461312523,1.3838365945092335,0.5798831919414706
25,88.80911120763446,3.6827880629240326,1.552441452919425
26,92.49189927055849,2.1594447699613966,0.9242563452278839
27,94.65134404051989,1.21929018772542,0.52634271820501
28,95.87063422824531,2.960559989948379,1.2840444311440893
29,98.83119421819369,2.4866567875376973,1.090541263459122
30,101.31785100573138,2.4076870347469566,1.0654306549163246
31,103.72553804047834,1.721085011847748,0.7680341437096522
32,105.44662305232609,1.7219881319503116,0.7729472854383144
33,107.1686111842764,3.8609243588932713,1.743003441600403
34,111.02953554316967,0.8451236338229648,0.38628922424232776
35,111.87465917699264,2.4455617384600714,1.120769120847012
36,114.32022091545271,1.9064594054048456,0.8802668456306236
37,116.22668032085755,2.564102545118658,1.1906688734933548
38,118.79078286597621,2.5793421364444384,1.2067035538203377
39,121.37012500242065,1.5767042911319322,0.7430260674792415
40,122.94682929355258,1.3099892607931878,0.6200269463580591
41,124.25681855434577,3.259865325250729,1.548415512016222
42,127.5166838795965,2.062020320359565,0.987945461481979
43,129.57870419995606,1.5089843309766025,0.7268299652367589
44,131.08768853093267,2.4100486720649315,1.1652851201535974
45,133.4977372029976,1.2587725503762783,0.6122802165951892
46,134.75650975337388,3.359532301159561,1.6391298937427472
47,138.11604205453344,1.62016689758795,0.7968358862238064
48,139.7362089521214,1.387498451899745,0.6849794483969068
49,141.12370740402113,1.9881384035994927,0.9846294279603701
50,143.11184580762063,2.889136679144883,1.4372832870885224
51,146.0009824867655,1.4217828557941061,0.7118290643500157
52,147.42276534255961,2.6307550782252633,1.3211700932566803
53,150.05352042078488,0.8717371914565888,0.4402420419166508
54,150.92525761224147,2.09943619895742,1.0621863750788585
55,153.0246938111989,3.0882154830389936,1.5692381763035692
56,156.11290929423788,1.4846825233561844,0.7591441214630019
57,157.59759181759406,1.252396353826441,0.6422588297355512
58,158.8499881714205,2.338975966175525,1.2024294447157489
59,161.18896413759603,1.8417455495859656,0.9510959881456669
60,163.030709687182,2.5063595007184176,1.2988413242165315
61,165.5370691879004,1.6473707902740955,0.8576977436853579
62,167.1844399781745,1.9100754373943118,0.9974843179691869
63,169.09451541556882,0.8174610638428703,0.42837453221284894
64,169.9119764794117,3.4995600401798583,1.8365623150943535
65,173.41153651959155,1.3426550037741833,0.7089792572936774
66,174.75419152336573,1.6872427743446963,0.8930074699508719
67,176.44143429771043,1.935973478389542,1.0276138524576641
68,178.37740777609997,1.5390762441570303,0.8196140302069188
69,179.916484020257,2.2905944641094607,1.2229567924560771
70,182.20707848436646,2.6673893640210338,1.4294997080270508
71,184.8744678483875,0.724315829319977,0.3898486411884504
72,185.59878367770747,1.6301389057943823,0.8784044480128936
73,187.22892258350186,2.187236072515077,1.181641799568164
74,189.41615865601693,2.6104977046968543,1.415131972569458
75,192.0266563607138,1.0530702431319128,0.5731558592555428
76,193.0797266038457,2.1856700756835323,1.1914998341298837
77,195.26539667952923,1.611085161429088,0.8811559446553388
78,196.87648184095832,1.138827835293597,0.6243520521544209
79,198.01530967625192,3.249442267451883,1.7844602193542707
80,201.2647519437038,1.2288425704367398,0.6780132341431183
81,202.49359451414054,1.6960772889640054,0.9374528710743764
82,204.18967180310455,1.2050253990587407,0.6676392284749251
83,205.3946972021633,2.5115616856429313,1.3938721932357945
84,207.90625888780622,1.6702508290500475,0.9301904221225427
85,209.57650971685626,2.114352878509038,1.1802108355581624
86,211.6908625953653,1.6570567643473737,0.9276000204589494
87,213.34791935971268,1.199125423778753,0.6727437597365143
88,214.54704478349143,1.6224937247722835,0.9117128314856687
89,216.1695385082637,2.898057840757673,1.6319536964934918
90,219.0675963490214,1.6473224902926233,0.9311314139376854
91,220.714918839314,0.7157867153793234,0.40544422991565704
92,221.43070555469333,2.5762946999109886,1.460622375754629
93,224.00700025460432,0.9763244149779666,0.5553215851784012
94,224.9833246695823,2.4381196100970044,1.3884606860647777
95,227.4214442796793,1.915969025846067,1.0943930806650655
96,229.33741330552536,1.9127753949738064,1.0951228766674048
97,231.25018870049917,0.737046552681079,0.4229561862894256
98,231.98723525318024,1.7061689257280648,0.9799538183769317
99,233.6934041789083,2.8308254869078837,1.6292120671411814
100,236.5242296658162,1.2455908151090114,0.7192561535292447
101,237.7698204809252,1.785657092402431,1.0326056906877856
102,239.55547757332764,1.4936802228889405,0.865540637662082
103,241.04915779621658,1.7741141380060128,1.029798361299991
104,242.8232719342226,1.2476265628555723,0.7256506372055623
105,244.07089849707816,3.06609157781935,1.78581595671175
106,247.1369900748975,0.9649999852509552,0.563972444570391
107,248.10199006014847,1.4716995845587348,0.8610143944556446
108,249.5736896447072,1.441258150308812,0.8445613487202144
109,251.014947795016,2.055038952983466,1.206113471123095
110,253.06998674799948,2.2362697069145554,1.3153807512536784
111,255.30625645491403,1.0744572395204273,0.6335035293761229
112,256.38071369443446,2.2297257970969326,1.3161440238418225
113,258.6104394915314,1.2639674981465987,0.7478262056002275
114,259.874406989678,0.9306775149188979,0.5513574180808382
115,260.8050845045969,2.7688094002732555,1.641889596233049
116,263.57389390487015,1.9839579340061846,1.1798112807085854
117,265.55785183887633,1.0571219426247467,0.6299062457126955
118,266.6149737815011,1.3069413013229791,0.7795922479988747
119,267.92191508282406,2.0485339411735595,1.223547566558005
120,269.9704490239976,1.5236066176473742,0.9118662015026443
121,271.494055641645,1.965553546758315,1.1781283656883175
122,273.4596091884033,2.127883460940552,1.2778699080964844
123,275.58749264934386,0.864556853789054,0.5202637817095632
124,276.4520495031329,1.798694026709029,1.0832955309956973
125,278.25074352984194,0.978507397903229,0.5903334975949893
126,279.22925092774517,3.2358638373069084,1.9540045067259786
127,282.4651147650521,0.7460709681818116,0.45188956286121756
128,283.2111857332339,1.6247782476708608,0.984798053382368
129,284.83596398090475,1.8314813820981612,1.1117508532583438
